"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"Lover",2019-08-23,15,"Afterglow",0.756,0.449,0.133475021658095,1,0.0344,0.13,0,0.114,0.399,111.011,FALSE
"Lover",2019-08-23,16,"ME!",0.61,0.83,0.388597497954393,1,0.0571,0.033,0,0.118,0.728,182.162,FALSE
"Lover",2019-08-23,17,"It's Nice To Have A Friend",0.737,0.175,0.10204694319422,1,0.0401,0.971,0.000337,0.171,0.545,70.008,FALSE
"Lover",2019-08-23,18,"Daylight",0.557,0.496,0.109597336552381,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,FALSE
"folklore",2020-07-24,1,"the 1",0.78,0.361,0.202208775840144,1,0.048,0.75,7.14e-06,0.108,0.163,139.902,TRUE
"folklore",2020-07-24,2,"cardigan",0.612,0.58,0.138931268173676,0,0.0419,0.525,0.000414,0.26,0.534,130.045,FALSE
"folklore",2020-07-24,3,"the last great american dynasty",0.688,0.653,0.139379852311282,1,0.0403,0.481,0.00414,0.106,0.701,147.991,TRUE
"folklore",2020-07-24,4,"exile",0.31,0.374,0.142429516497329,1,0.0275,0.761,2.46e-05,0.11,0.16,75.938,FALSE
"folklore",2020-07-24,5,"my tears ricochet",0.456,0.265,0.0858420340887521,1,0.0328,0.814,0,0.0679,0.112,129.947,FALSE
"folklore",2020-07-24,6,"mirrorball",0.549,0.417,0.0985371506858619,1,0.035,0.686,1.9e-06,0.0604,0.347,110.137,FALSE
"folklore",2020-07-24,7,"seven",0.602,0.494,0.0829277724857124,1,0.0277,0.888,2.59e-05,0.0902,0.374,94.955,FALSE
"folklore",2020-07-24,8,"august",0.387,0.634,0.119618953880618,1,0.0363,0.553,6.93e-05,0.0931,0.42,89.567,FALSE
"folklore",2020-07-24,9,"this is me trying",0.511,0.478,0.103824536265331,1,0.0322,0.312,2.3e-05,0.147,0.408,135.882,FALSE
"folklore",2020-07-24,10,"illicit affairs",0.529,0.304,0.087760684113662,1,0.0356,0.862,0,0.108,0.44,119.58,FALSE
"folklore",2020-07-24,11,"invisible string",0.651,0.459,0.0771258564989214,0,0.0507,0.859,6.63e-05,0.105,0.454,83.455,FALSE
"folklore",2020-07-24,12,"mad woman",0.593,0.7,0.125429589230232,1,0.0492,0.67,6.77e-06,0.116,0.451,141.898,TRUE
"folklore",2020-07-24,13,"epiphany",0.317,0.254,0.0428647208702384,1,0.0286,0.727,0.000326,0.0867,0.103,93.933,FALSE
"folklore",2020-07-24,14,"betty",0.595,0.376,0.13283117061069,1,0.0256,0.589,0,0.0989,0.476,95.946,TRUE
"folklore",2020-07-24,15,"peace",0.644,0.284,0.0515347294020903,1,0.0821,0.916,1.5e-05,0.0909,0.328,150.072,TRUE
"folklore",2020-07-24,16,"hoax",0.676,0.178,0.0315500462337463,1,0.0394,0.964,7.9e-06,0.135,0.404,118.84,FALSE
"folklore",2020-07-24,17,"the lakes",0.313,0.258,0.0702748617656134,1,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,FALSE
"evermore",2020-12-11,1,"willow",0.392,0.574,0.120364938979121,1,0.17,0.833,0.00179,0.145,0.529,81.112,FALSE
"evermore",2020-12-11,2,"champagne problems",0.462,0.24,0.0619869117636061,1,0.0377,0.92,0,0.113,0.32,171.319,TRUE
"evermore",2020-12-11,3,"gold rush",0.512,0.462,0.0893099816223518,1,0.0408,0.83,0.166,0.121,0.353,112.05,TRUE
"evermore",2020-12-11,4,"'tis the damn season",0.575,0.434,0.151600278805367,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,FALSE
"evermore",2020-12-11,5,"tolerate it",0.316,0.361,0.0916009546844429,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,TRUE
"evermore",2020-12-11,6,"no body, no crime",0.546,0.613,0.174220798542373,0,0.0264,0.418,0,0.103,0.535,79.015,FALSE
"evermore",2020-12-11,7,"happiness",0.559,0.334,0.0844695148844578,1,0.0376,0.87,0,0.114,0.211,122.079,TRUE
"evermore",2020-12-11,8,"dorothea",0.605,0.488,0.147163463356571,1,0.0264,0.696,0,0.129,0.354,119.966,FALSE
"evermore",2020-12-11,9,"coney island",0.537,0.537,0.0747136579828431,1,0.0617,0.819,0.000904,0.142,0.292,107.895,FALSE
"evermore",2020-12-11,10,"ivy",0.515,0.545,0.118113625393405,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,TRUE
"evermore",2020-12-11,11,"cowboy like me",0.604,0.517,0.125487364993048,1,0.0347,0.768,0.000155,0.123,0.511,127.967,TRUE
"evermore",2020-12-11,12,"long story short",0.546,0.73,0.169668023234646,1,0.0417,0.66,0.179,0.0972,0.573,157.895,FALSE
"evermore",2020-12-11,13,"marjorie",0.535,0.561,0.0690398755727843,1,0.0484,0.876,0.000136,0.115,0.287,96.103,FALSE
"evermore",2020-12-11,14,"closure",0.689,0.704,0.0829277724857124,1,0.245,0.835,4.83e-06,0.134,0.92,151.884,FALSE
"evermore",2020-12-11,15,"evermore",0.39,0.27,0.0856446028890058,1,0.0308,0.937,0.00227,0.111,0.32,125.177,FALSE
"evermore",2020-12-11,16,"right where you left me",0.581,0.619,0.222638362955291,1,0.0282,0.769,0.000106,0.117,0.645,137.915,FALSE
"evermore",2020-12-11,17,"it's time to go",0.592,0.41,0.0572005230415928,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923,FALSE
"Midnights",2022-10-21,1,"Lavender Haze",0.735,0.444,0.0887360310778668,1,0.0684,0.204,0.0012,0.17,0.0984,97.038,TRUE
"Midnights",2022-10-21,2,"Maroon",0.658,0.378,0.147910838816821,1,0.0379,0.0593,0,0.0976,0.0382,108.034,TRUE
"Midnights",2022-10-21,3,"Anti-Hero",0.638,0.634,0.219684795392972,1,0.0457,0.133,1.23e-06,0.152,0.519,96.953,FALSE
"Midnights",2022-10-21,4,"Snow On The Beach",0.659,0.323,0.0454464537209509,1,0.0436,0.735,0.00321,0.116,0.154,110.007,TRUE
"Midnights",2022-10-21,5,"You're On Your Own, Kid",0.694,0.38,0.0931751284201956,1,0.0614,0.416,8.47e-06,0.126,0.376,120.044,FALSE
"Midnights",2022-10-21,6,"Midnight Rain",0.636,0.377,0.0672821715521548,1,0.0708,0.71,6.51e-05,0.115,0.23,139.966,FALSE
"Midnights",2022-10-21,7,"Question...?",0.751,0.502,0.13252566739591,1,0.162,0.226,0,0.297,0.112,108.989,TRUE
"Midnights",2022-10-21,8,"Vigilante Shit",0.87,0.279,0.0770193767609796,0,0.364,0.16,1.74e-05,0.121,0.16,79.996,TRUE
"Midnights",2022-10-21,9,"Bejeweled",0.7,0.55,0.122179966016487,1,0.0653,0.0661,0.000102,0.091,0.412,164.003,FALSE
"Midnights",2022-10-21,10,"Labyrinth",0.487,0.313,0.028615411789812,1,0.0487,0.791,0.348,0.124,0.141,110.039,FALSE
"Midnights",2022-10-21,11,"Karma",0.649,0.622,0.197060690398911,1,0.0582,0.074,0,0.594,0.106,90.024,TRUE
"Midnights",2022-10-21,12,"Sweet Nothing",0.334,0.161,0.0325461783498046,1,0.0506,0.967,4.71e-05,0.115,0.396,176.747,FALSE
"Midnights",2022-10-21,13,"Mastermind",0.661,0.352,0.039111097238893,1,0.117,0.571,0.00147,0.0884,0.13,125.934,FALSE
"Midnights",2022-10-21,14,"The Great War",0.573,0.741,0.126269947529497,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,FALSE
"Midnights",2022-10-21,15,"Bigger Than The Whole Sky",0.422,0.235,0.0578229174266034,1,0.0568,0.826,0.00648,0.115,0.068,165.71,FALSE
"Midnights",2022-10-21,16,"Paris",0.7,0.509,0.0881657690262191,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947,FALSE
"Midnights",2022-10-21,17,"High Infidelity",0.646,0.529,0.0959621567110341,1,0.0864,0.723,0,0.0885,0.755,87.862,FALSE
"Midnights",2022-10-21,18,"Glitch",0.675,0.466,0.10621845986687,0,0.201,0.361,0,0.11,0.347,140.864,FALSE
"Midnights",2022-10-21,19,"Would've, Could've, Should've",0.483,0.84,0.223460105773122,1,0.119,0.43,0.000575,0.146,0.55,157.979,FALSE
"Midnights",2022-10-21,20,"Dear Reader",0.562,0.388,0.0618301072751714,1,0.0705,0.481,0.00145,0.117,0.159,107.747,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,1,"Last Christmas",0.702,0.77,0.293832614867281,1,0.0372,0.31,0,0.149,0.685,116.009,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,2,"Christmases When You Were Mine",0.625,0.206,0.05536049950434,1,0.0285,0.646,0,0.0915,0.392,79.466,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,3,"Santa Baby",0.759,0.509,0.219129072241449,1,0.0271,0.159,0,0.153,0.75,107.948,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,4,"Silent Night",0.423,0.311,0.174542020879137,1,0.0319,0.621,0,0.0987,0.134,119.546,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,5,"Christmas Must Be Something More",0.689,0.793,0.328246421375217,1,0.0356,0.298,0,0.107,0.506,122.879,FALSE
"The Taylor Swift Holiday Collection",2007-10-14,6,"White Christmas",0.562,0.392,0.125487364993048,1,0.0287,0.587,0,0.224,0.514,145.792,FALSE
