"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"Fearless (Taylor's Version)",2021-04-09,5,"White Horse (Taylor's Version)",0.423,0.517,0.182936345929309,1,0.0486,0.369,0,0.177,0.366,185.262,FALSE
"Fearless (Taylor's Version)",2021-04-09,6,"You Belong With Me (Taylor's Version)",0.632,0.773,0.326888769247272,1,0.0346,0.0623,0,0.0885,0.474,130.033,FALSE
"Fearless (Taylor's Version)",2021-04-09,7,"Breathe (Taylor's Version)",0.506,0.626,0.247400173579256,1,0.0287,0.156,0,0.228,0.321,148.035,FALSE
"Fearless (Taylor's Version)",2021-04-09,8,"Tell Me Why (Taylor's Version)",0.578,0.909,0.42963534256987,1,0.0628,0.0222,0,0.333,0.541,100.023,FALSE
"Fearless (Taylor's Version)",2021-04-09,9,"You're Not Sorry (Taylor's Version)",0.506,0.444,0.316956746304349,1,0.0285,0.0538,0,0.123,0.241,133.873,FALSE
"Fearless (Taylor's Version)",2021-04-09,10,"The Way I Loved You (Taylor's Version)",0.402,0.732,0.341585950686055,1,0.0484,0.0033,0,0.108,0.472,161.032,FALSE
"Fearless (Taylor's Version)",2021-04-09,11,"Forever & Always (Taylor's Version)",0.598,0.821,0.36032965012816,1,0.0447,0.0231,0,0.143,0.673,128.03,FALSE
"Fearless (Taylor's Version)",2021-04-09,12,"The Best Day (Taylor's Version)",0.642,0.576,0.140475310269688,1,0.0282,0.488,0,0.159,0.469,125,FALSE
"Fearless (Taylor's Version)",2021-04-09,13,"Change (Taylor's Version)",0.499,0.815,0.392373799544861,1,0.0341,0.000191,0,0.181,0.344,95.999,FALSE
"Fearless (Taylor's Version)",2021-04-09,14,"Jump Then Fall (Taylor's Version)",0.572,0.69,0.239828063091446,1,0.0358,0.0474,0,0.0897,0.624,160.111,FALSE
"Fearless (Taylor's Version)",2021-04-09,15,"Untouchable (Taylor's Version)",0.393,0.531,0.244793566619607,1,0.0329,0.0181,0,0.169,0.224,200.391,FALSE
"Fearless (Taylor's Version)",2021-04-09,16,"Forever & Always (Piano Version) [Taylor's Version]",0.546,0.273,0.120005182020427,1,0.0308,0.819,0,0.137,0.271,118.753,FALSE
"Fearless (Taylor's Version)",2021-04-09,17,"Come In With The Rain (Taylor's Version)",0.476,0.564,0.270582683764883,1,0.0269,0.0406,0,0.102,0.167,143.929,FALSE
"Fearless (Taylor's Version)",2021-04-09,18,"SuperStar (Taylor's Version)",0.454,0.555,0.214289060112006,1,0.0283,0.157,0,0.343,0.171,171.862,FALSE
"Fearless (Taylor's Version)",2021-04-09,19,"The Other Side Of The Door (Taylor's Version)",0.432,0.873,0.365847422793971,1,0.0577,0.0279,0,0.167,0.629,163.936,FALSE
"Fearless (Taylor's Version)",2021-04-09,20,"Today Was A Fairytale (Taylor's Version)",0.482,0.779,0.31441264202588,1,0.0409,0.0135,0,0.296,0.328,158.162,FALSE
"Fearless (Taylor's Version)",2021-04-09,21,"You All Over Me (Taylor's Version) [From The Vault]",0.599,0.494,0.173380399775414,1,0.0372,0.816,0,0.101,0.44,142.893,FALSE
"Fearless (Taylor's Version)",2021-04-09,22,"Mr. Perfectly Fine (Taylor's Version) [From The Vault]",0.66,0.817,0.236102181595966,0,0.0521,0.162,0,0.0667,0.714,135.942,FALSE
"Fearless (Taylor's Version)",2021-04-09,23,"We Were Happy (Taylor's Version) [From The Vault]",0.609,0.373,0.131250207900027,1,0.0263,0.849,0,0.0779,0.13,106.007,FALSE
"Fearless (Taylor's Version)",2021-04-09,24,"That's When (Taylor's Version) [From The Vault]",0.588,0.608,0.196698025321839,1,0.0365,0.225,0,0.092,0.508,90.201,FALSE
"Fearless (Taylor's Version)",2021-04-09,25,"Don't You (Taylor's Version) [From The Vault]",0.563,0.473,0.0700164359372975,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,FALSE
"Fearless (Taylor's Version)",2021-04-09,26,"Bye Bye Baby (Taylor's Version) [From The Vault]",0.624,0.624,0.163681652142781,1,0.0539,0.334,0,0.0995,0.527,80.132,FALSE
"Speak Now",2010-10-25,1,"Mine",0.624,0.757,0.508159442560561,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,FALSE
"Speak Now",2010-10-25,2,"Sparks Fly",0.605,0.787,0.500956481513398,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,FALSE
"Speak Now",2010-10-25,3,"Back To December",0.529,0.67,0.341743293056299,1,0.0303,0.117,0,0.334,0.286,141.893,FALSE
"Speak Now",2010-10-25,4,"Speak Now",0.709,0.599,0.423252956091984,1,0.0304,0.095,0,0.0973,0.735,118.975,FALSE
"Speak Now",2010-10-25,5,"Dear John",0.589,0.47,0.293764965196153,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,FALSE
"Speak Now",2010-10-25,6,"Mean",0.568,0.761,0.399300634223162,1,0.0459,0.452,0,0.217,0.789,163.974,FALSE
"Speak Now",2010-10-25,7,"The Story Of Us",0.543,0.818,0.435411604915063,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,FALSE
"Speak Now",2010-10-25,8,"Never Grow Up",0.714,0.305,0.130707347072171,1,0.0305,0.819,0,0.174,0.554,124.91,FALSE
"Speak Now",2010-10-25,9,"Enchanted",0.455,0.623,0.409449174632688,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,FALSE
"Speak Now",2010-10-25,10,"Better Than Revenge",0.516,0.917,0.48017550301398,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,FALSE
"Speak Now",2010-10-25,11,"Innocent",0.552,0.608,0.295801246655155,0,0.0259,0.186,0,0.125,0.17,134.05,FALSE
"Speak Now",2010-10-25,12,"Haunted",0.436,0.95,0.546134987505724,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,FALSE
"Speak Now",2010-10-25,13,"Last Kiss",0.371,0.341,0.112849593752776,1,0.0319,0.57,3.09e-05,0.101,0.196,89.038,FALSE
"Speak Now",2010-10-25,14,"Long Live",0.418,0.68,0.371535229097173,1,0.0347,0.036,7.59e-05,0.114,0.142,204.12,FALSE
"Speak Now",2010-10-25,15,"Ours",0.608,0.569,0.189365125489667,1,0.0284,0.537,0,0.097,0.238,159.845,FALSE
"Speak Now",2010-10-25,16,"If This Was A Movie",0.511,0.719,0.451128225271586,1,0.0265,0.166,4.54e-06,0.34,0.289,147.852,FALSE
"Speak Now",2010-10-25,17,"Superman",0.582,0.765,0.431717844470923,1,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,FALSE
