"album_name","album_release","track_name","energy","loudness","mode","speechiness","acousticness","instrumentalness","valence","tempo","explicit"
"Fearless (Taylor's Version)",2021-04-09,"That's When (Taylor's Version) [From The Vault]",0.608,-7.062,1,0.0365,0.225,0,0.508,90.201,FALSE
"Fearless (Taylor's Version)",2021-04-09,"Don't You (Taylor's Version) [From The Vault]",0.473,-11.548,1,0.0503,0.514,1.2e-05,0.405,101.934,FALSE
"Fearless (Taylor's Version)",2021-04-09,"Bye Bye Baby (Taylor's Version) [From The Vault]",0.624,-7.86,1,0.0539,0.334,0,0.527,80.132,FALSE
"Speak Now",2010-10-25,"Mine",0.757,-2.94,1,0.0296,0.00265,1.87e-06,0.658,121.07,FALSE
"Speak Now",2010-10-25,"Sparks Fly",0.787,-3.002,1,0.0308,0.0396,1.42e-06,0.374,114.987,FALSE
"Speak Now",2010-10-25,"Back To December",0.67,-4.663,1,0.0303,0.117,0,0.286,141.893,FALSE
"Speak Now",2010-10-25,"Speak Now",0.599,-3.734,1,0.0304,0.095,0,0.735,118.975,FALSE
"Speak Now",2010-10-25,"Dear John",0.47,-5.32,1,0.028,0.166,1.45e-06,0.102,119.386,FALSE
"Speak Now",2010-10-25,"Mean",0.761,-3.987,1,0.0459,0.452,0,0.789,163.974,FALSE
"Speak Now",2010-10-25,"The Story Of Us",0.818,-3.611,1,0.0398,0.00478,0.000368,0.683,139.898,FALSE
"Speak Now",2010-10-25,"Never Grow Up",0.305,-8.837,1,0.0305,0.819,0,0.554,124.91,FALSE
"Speak Now",2010-10-25,"Enchanted",0.623,-3.878,1,0.0288,0.0739,0.000424,0.208,163.893,FALSE
"Speak Now",2010-10-25,"Better Than Revenge",0.917,-3.186,0,0.0827,0.0139,6.37e-06,0.635,145.821,FALSE
"Speak Now",2010-10-25,"Innocent",0.608,-5.29,0,0.0259,0.186,0,0.17,134.05,FALSE
"Speak Now",2010-10-25,"Haunted",0.95,-2.627,1,0.057,0.0826,1.08e-06,0.352,162.088,FALSE
"Speak Now",2010-10-25,"Last Kiss",0.341,-9.475,1,0.0319,0.57,3.09e-05,0.196,89.038,FALSE
"Speak Now",2010-10-25,"Long Live",0.68,-4.3,1,0.0347,0.036,7.59e-05,0.142,204.12,FALSE
"Speak Now",2010-10-25,"Ours",0.569,-7.227,1,0.0284,0.537,0,0.238,159.845,FALSE
"Speak Now",2010-10-25,"If This Was A Movie",0.719,-3.457,1,0.0265,0.166,4.54e-06,0.289,147.852,FALSE
"Speak Now",2010-10-25,"Superman",0.765,-3.648,1,0.0324,0.0268,1.95e-06,0.559,131.982,FALSE
"Red (Taylor's Version)",2021-11-12,"State Of Grace (Taylor's Version)",0.713,-5.314,1,0.0503,0.000328,0,0.328,129.958,FALSE
"Red (Taylor's Version)",2021-11-12,"Red (Taylor's Version)",0.777,-4.908,0,0.0375,0.00108,1.62e-06,0.408,125.047,FALSE
"Red (Taylor's Version)",2021-11-12,"Treacherous (Taylor's Version)",0.593,-6.506,1,0.0288,0.0344,0.000127,0.299,109.984,FALSE
"Red (Taylor's Version)",2021-11-12,"I Knew You Were Trouble (Taylor's Version)",0.557,-6.371,1,0.0342,0.0129,0,0.767,154.008,FALSE
"Red (Taylor's Version)",2021-11-12,"All Too Well (Taylor's Version)",0.528,-7.809,1,0.0317,0.0171,0.00203,0.132,185.972,FALSE
"Red (Taylor's Version)",2021-11-12,"22 (Taylor's Version)",0.695,-5.62,1,0.0281,0.000443,1.02e-05,0.642,103.984,FALSE
"Red (Taylor's Version)",2021-11-12,"I Almost Do (Taylor's Version)",0.559,-6.587,1,0.0264,0.0167,0,0.248,145.88,FALSE
"Red (Taylor's Version)",2021-11-12,"We Are Never Ever Getting Back Together (Taylor's Version)",0.686,-6.139,1,0.175,0.0317,1.86e-06,0.716,172.014,FALSE
"Red (Taylor's Version)",2021-11-12,"Stay Stay Stay (Taylor's Version)",0.681,-7.039,1,0.025,0.0848,0,0.663,100.02,FALSE
"Red (Taylor's Version)",2021-11-12,"The Last Time (Taylor's Version)",0.534,-5.954,1,0.0278,0.0399,0,0.155,94.05,FALSE
"Red (Taylor's Version)",2021-11-12,"Holy Ground (Taylor's Version)",0.809,-5.623,1,0.0638,0.0288,0.00218,0.511,156.894,FALSE
